value.original	n
?⁰.	5518
?⁰	110
⁰.	7
?$.	5
ill. (relief cuts)	2
.	2
?.	2
Various formats.	1
obl.slip.	1
ill. (relief cut)	1
ill.	1
cm. (.	1
caption title;	1
2&amp;#8304;.	1
1800.	1
1792.	1
1777.	1
1776.	1
1774.	1
1762.	1
1750.	1
1743].	1
1742].	1
1736.	1
1710.	1
1681.	1
1667.	1
1616.	1
[1774].	1
[1771].	1
? cm.	1
