original	gatherings	width	height	obl	n
54 x 44 cm.	NA	NA	NA	NA	7
(1/2&quot;)	NA	NA	NA	0	6
1⁰ &amp; 1/2⁰.	NA	NA	NA	0	6
11 x 18 cm.	NA	NA	NA	NA	6
12⁰ and 8⁰.	NA	NA	NA	0	6
13 x 23 cm.	NA	NA	NA	NA	6
19 x 16 cm.	NA	NA	NA	NA	6
21 x 18 cm.	NA	NA	NA	NA	6
22 x 16 cm.	NA	NA	NA	NA	6
22 x 17 cm.	NA	NA	NA	NA	6
23 x 17 cm.	NA	NA	NA	NA	6
25 x 18 cm.	NA	NA	NA	NA	6
29 x 21 cm.	NA	NA	NA	NA	6
29 x 22 cm.	NA	NA	NA	NA	6
32 x 18 cm.	NA	NA	NA	NA	6
36 x 20 cm.	NA	NA	NA	NA	6
37 x 22 cm.	NA	NA	NA	NA	6
38 x 23 cm.	NA	NA	NA	NA	6
39 x 30 cm.	NA	NA	NA	NA	6
40 x 27 cm.	NA	NA	NA	NA	6
40 x 33 cm.	NA	NA	NA	NA	6
41 x 27 cm.	NA	NA	NA	NA	6
42 x 35 cm.	NA	NA	NA	NA	6
43 x 32 cm.	NA	NA	NA	NA	6
44 x 26 cm.	NA	NA	NA	NA	6
44 x 36 cm.	NA	NA	NA	NA	6
46-50 cm.	NA	NA	NA	0	6
51 x 39 cm.	NA	NA	NA	NA	6
53 x 43 cm.	NA	NA	NA	NA	6
56 x 46 cm.	NA	NA	NA	NA	6
57 x 46 cm.	NA	NA	NA	NA	6
?$.	NA	NA	NA	0	5
17 x 11 cm.	NA	NA	NA	NA	5
19 x 14 cm.	NA	NA	NA	NA	5
19 x 15 cm.	NA	NA	NA	NA	5
20 x 15 cm.	NA	NA	NA	NA	5
21 x 11 cm.	NA	NA	NA	NA	5
21 x 12 cm.	NA	NA	NA	NA	5
21 x 15 cm.	NA	NA	NA	NA	5
21 x 20 cm.	NA	NA	NA	NA	5
21 x 33 cm.	NA	NA	NA	NA	5
22 x 20 cm.	NA	NA	NA	NA	5
23 x 15 cm.	NA	NA	NA	NA	5
23 x 20 cm.	NA	NA	NA	NA	5
24 x 16 cm.	NA	NA	NA	NA	5
26 x 18 cm.	NA	NA	NA	NA	5
27 x 16 cm.	NA	NA	NA	NA	5
28 x 19 cm.	NA	NA	NA	NA	5
31 x 17 cm.	NA	NA	NA	NA	5
31 x 23 cm.	NA	NA	NA	NA	5
31 x 24 cm.	NA	NA	NA	NA	5
31 x 26 cm.	NA	NA	NA	NA	5
33 x 23 cm.	NA	NA	NA	NA	5
35 x 19 cm.	NA	NA	NA	NA	5
36 x 25 cm.	NA	NA	NA	NA	5
36⁰.	NA	NA	NA	0	5
37 x 26 cm.	NA	NA	NA	NA	5
38 x 27 cm.	NA	NA	NA	NA	5
38 x 29 cm.	NA	NA	NA	NA	5
4⁰�	NA	NA	NA	0	5
41 x 32 cm.	NA	NA	NA	NA	5
42-50 cm.	NA	NA	NA	0	5
43 x 36 cm.	NA	NA	NA	NA	5
46 x 28 cm.	NA	NA	NA	NA	5
46 x 29 cm.	NA	NA	NA	NA	5
46 x 36 cm.	NA	NA	NA	NA	5
49 x 37 cm.	NA	NA	NA	NA	5
50 x 39 cm.	NA	NA	NA	NA	5
56 x 44 cm.	NA	NA	NA	NA	5
58 x 46 cm.	NA	NA	NA	NA	5
8o.	NA	NA	NA	0	5
?	NA	NA	NA	0	4
11 x 16 cm.	NA	NA	NA	NA	4
12 x 18 cm.	NA	NA	NA	NA	4
12⁰ &amp; 8⁰.	NA	NA	NA	0	4
128⁰.	NA	NA	NA	0	4
13 x 20 cm.	NA	NA	NA	NA	4
14 x 12 cm.	NA	NA	NA	NA	4
15 x 18 cm.	NA	NA	NA	NA	4
16 x 20 cm.	NA	NA	NA	NA	4
17 x 20 cm.	NA	NA	NA	NA	4
17 x 22 cm.	NA	NA	NA	NA	4
18 x 15 cm.	NA	NA	NA	NA	4
2⁰ and 4⁰.	NA	NA	NA	0	4
