original	gatherings	width	height	obl	n
1/2⁰&amp;1⁰.	NA	NA	NA	0	1
1/21⁰.	NA	NA	NA	0	1
1/2�	NA	NA	NA	0	1
1/4$.	NA	NA	NA	0	1
1/4⁰ (21 x 18 cm)	NA	NA	NA	NA	1
1/4⁰ (21 x 19 cm.)	NA	NA	NA	NA	1
1/4⁰ (23 x 19 cm)	NA	NA	NA	NA	1
1/4⁰ (25 x 20 cm)	NA	NA	NA	NA	1
1/4⁰ (27 x 22 cm.)	NA	NA	NA	NA	1
1/4⁰ (29 x 22 cm)	NA	NA	NA	NA	1
1/4⁰ (9 x 20 cm)	NA	NA	NA	NA	1
1/4mo.	NA	NA	NA	0	1
1/4�	NA	NA	NA	0	1
1/5⁰.	NA	NA	NA	0	1
1/6°.	NA	NA	NA	0	1
1/6⁰.	NA	NA	NA	0	1
1/72⁰.	NA	NA	NA	0	1
1/8⁰ (11 x 22 cm)	NA	NA	NA	NA	1
1$⁰.	NA	NA	NA	0	1
1⁰ (41 x 27 cm).	NA	NA	NA	NA	1
1⁰ (42 x 34 cm.)	NA	NA	NA	NA	1
1⁰ (48 x 38 cm)	NA	NA	NA	NA	1
1⁰ (50 x 30 cm)	NA	NA	NA	NA	1
1⁰ (54 x 40 cm)	NA	NA	NA	NA	1
1⁰ (58 x 47 cm)	NA	NA	NA	NA	1
1⁰ and obl.1/2⁰.	NA	NA	NA	1	1
10 x 11 cm.	NA	NA	NA	NA	1
10 x 14 cm.	NA	NA	NA	NA	1
10 x 18 cm.	NA	NA	NA	NA	1
10 x 6 cm.	NA	NA	NA	NA	1
10 x 7 cm.	NA	NA	NA	NA	1
1⁰/2.	NA	NA	NA	0	1
11 cm. (?0.	NA	NA	NA	0	1
11 x 13 cm. (16 mo)	NA	NA	NA	NA	1
11 x 14 cm.	NA	NA	NA	NA	1
11 x 20 cm.	NA	NA	NA	NA	1
11 x 21 cm.	NA	NA	NA	NA	1
11 x 23 cm.	NA	NA	NA	NA	1
11 x 5 cm.	NA	NA	NA	NA	1
11 x 9 cm.	NA	NA	NA	NA	1
12 x 11 x 7 cm.	NA	NA	NA	NA	1
12 x 16 cm.	NA	NA	NA	NA	1
12 x 24 cm.	NA	NA	NA	NA	1
12 x 25 cm.	NA	NA	NA	NA	1
12 x 26 cm.	NA	NA	NA	NA	1
12 x19 cm.	NA	NA	NA	NA	1
12.̲	NA	NA	NA	0	1
12⁰ &amp; 8⁰	NA	NA	NA	0	1
12⁰ ⁸⁴��⁺������	NA	NA	NA	0	1
12⁰ or 16⁰?	NA	NA	NA	0	1
1²⁰.	NA	NA	NA	0	1
12⁰.̲	NA	NA	NA	0	1
12⁰.; 11 x 15 cm.	NA	NA	NA	NA	1
12⁰.; 8⁰.	NA	NA	NA	0	1
12⁰.f	NA	NA	NA	0	1
12⁰⁸⁴��⁺������	NA	NA	NA	0	1
12⁰c8⁰.	NA	NA	NA	0	1
12⁰upd.	NA	NA	NA	0	1
12º.	NA	NA	NA	0	1
12�	NA	NA	NA	0	1
13 x 14 cm.	NA	NA	NA	NA	1
13 x 15 cm.	NA	NA	NA	NA	1
13 x 17 cm.	NA	NA	NA	NA	1
13 x 21+ cm.	NA	NA	NA	NA	1
13 x 25 cm.	NA	NA	NA	NA	1
13 x 8 cm.	NA	NA	NA	NA	1
13 x 9 cm.	NA	NA	NA	NA	1
14 x 10 cm.	NA	NA	NA	NA	1
14 x 18 cm.	NA	NA	NA	NA	1
14 x 19 cm.	NA	NA	NA	NA	1
14 x 20 cm.	NA	NA	NA	NA	1
14 x 21 cm	NA	NA	NA	NA	1
14 x 24 cm.	NA	NA	NA	NA	1
14 x 32 cm.	NA	NA	NA	NA	1
14 x 9 cm.	NA	NA	NA	NA	1
15 x 10 cm.	NA	NA	NA	NA	1
15 x 20 cm.	NA	NA	NA	NA	1
15 x 23 cm.	NA	NA	NA	NA	1
15 x 25 cm.	NA	NA	NA	NA	1
15 x 26 cm.	NA	NA	NA	NA	1
15 x 28 cm.	NA	NA	NA	NA	1
15 x 7 cm.	NA	NA	NA	NA	1
15 x 8 cm.	NA	NA	NA	NA	1
15-31 cm (1/4⁰-2⁰)	NA	NA	NA	0	1
16 x 10 cm.	NA	NA	NA	NA	1
16 x 13 cm.	NA	NA	NA	NA	1
16 x 17 cm. (1/8&quot;)	NA	NA	NA	NA	1
16 x 18 cm.	NA	NA	NA	NA	1
16 x 24 cm.	NA	NA	NA	NA	1
16 x 5 cm.	NA	NA	NA	NA	1
16⁰ and 18⁰.	NA	NA	NA	0	1
16⁰�	NA	NA	NA	0	1
1616.	NA	NA	NA	0	1
1667.	NA	NA	NA	0	1
1681.	NA	NA	NA	0	1
17 x 12 cm.	NA	NA	NA	NA	1
17 x 13 cm.	NA	NA	NA	NA	1
17 x 16 cm.	NA	NA	NA	NA	1
17 x 18 cm.	NA	NA	NA	NA	1
17 x 21 cm. (1/4&quot;)	NA	NA	NA	NA	1
17 x 42 cm.	NA	NA	NA	NA	1
17-50 cm.	NA	NA	NA	0	1
1710.	NA	NA	NA	0	1
1736.	NA	NA	NA	0	1
1742].	NA	NA	NA	0	1
1743].	NA	NA	NA	0	1
1750.	NA	NA	NA	0	1
1762.	NA	NA	NA	0	1
1774.	NA	NA	NA	0	1
1776.	NA	NA	NA	0	1
1777.	NA	NA	NA	0	1
1792.	NA	NA	NA	0	1
18 x 10 cm.	NA	NA	NA	NA	1
18 x 12 cm.	NA	NA	NA	NA	1
18 x 19 cm.	NA	NA	NA	NA	1
18 x 20 cm.	NA	NA	NA	NA	1
18 x 26 cm.	NA	NA	NA	NA	1
18 x 28 cm (4⁰)	NA	NA	NA	NA	1
18.5 x 10.5cm.	NA	NA	NA	NA	1
1800.	NA	NA	NA	0	1
19 x 10 cm.	NA	NA	NA	NA	1
19 x 18 cm.	NA	NA	NA	NA	1
19 x 21 cm.	NA	NA	NA	NA	1
19 x 25 cm.	NA	NA	NA	NA	1
19 x 26 cm.	NA	NA	NA	NA	1
19 x 29 cm.	NA	NA	NA	NA	1
19 x 32 cm.	NA	NA	NA	NA	1
19 x 8 cm.	NA	NA	NA	NA	1
19.5 x 14 cm.	NA	NA	NA	NA	1
2 D0?	NA	NA	NA	0	1
2 D0.	NA	NA	NA	0	1
2 in 6's.	NA	NA	NA	0	1
2 plates.	NA	NA	NA	0	1
2(D]0.	NA	NA	NA	0	1
2&amp;#8304;.	NA	NA	NA	0	1
2$.	NA	NA	NA	0	1
2⁰ (31 x 20 cm.)	NA	NA	NA	NA	1
2⁰ &amp; 4⁰.	NA	NA	NA	0	1
2⁰ and 8⁰.	NA	NA	NA	0	1
20 x 18 cm.	NA	NA	NA	NA	1
20 x 29 cm (4⁰)	NA	NA	NA	NA	1
20 x 29 cm.	NA	NA	NA	NA	1
20 x 30 cm (4⁰)	NA	NA	NA	NA	1
20 x 31 cm (2⁰)	NA	NA	NA	NA	1
20 x 31 cm (4⁰)	NA	NA	NA	NA	1
20 x 32 cm.	NA	NA	NA	NA	1
20 x 34 cm.	NA	NA	NA	NA	1
20 x 34+ cm.	NA	NA	NA	NA	1
20 x 8 cm.	NA	NA	NA	NA	1
20-22 cm.	NA	NA	NA	0	1
20-25 cm.	NA	NA	NA	0	1
2⁰; 32 x 20 cm.	NA	NA	NA	NA	1
2⁰; later, 1⁰.	NA	NA	NA	0	1
2⁰&amp;8⁰.	NA	NA	NA	0	1
21 x 16 cm. (1/4&quot;)	NA	NA	NA	NA	1
21 x 18.7 cm.	NA	NA	NA	NA	1
21 x 22 cm.	NA	NA	NA	NA	1
21 x 23 cm.	NA	NA	NA	NA	1
21 x 27 cm.	NA	NA	NA	NA	1
21 x 30 cm.	NA	NA	NA	NA	1
21 x 32 cm (2⁰)	NA	NA	NA	NA	1
21 x 36 cm.	NA	NA	NA	NA	1
21 x 48 cm.	NA	NA	NA	NA	1
21-23 cm.	NA	NA	NA	0	1
21x16 cm.	NA	NA	NA	NA	1
22 x 10 cm.	NA	NA	NA	NA	1
22 x 12 cm.	NA	NA	NA	NA	1
22 x 25 cm.	NA	NA	NA	NA	1
22 x 26 cm.	NA	NA	NA	NA	1
22 x 27 cm.	NA	NA	NA	NA	1
22 x 32 cm (2⁰)	NA	NA	NA	NA	1
22 x 32 cm.	NA	NA	NA	NA	1
22 x 34 cm (2⁰)	NA	NA	NA	NA	1
22 x 35 cm.	NA	NA	NA	NA	1
22 x 36 cm (2⁰)	NA	NA	NA	NA	1
22 x 56 cm.	NA	NA	NA	NA	1
22-24 cm.	NA	NA	NA	0	1
22-25 cm.	NA	NA	NA	0	1
23 x 10 cm.	NA	NA	NA	NA	1
23 x 11 cm.	NA	NA	NA	NA	1
23 x 18 cm. (1/4&quot;)	NA	NA	NA	NA	1
23 x 26 cm.	NA	NA	NA	NA	1
23 x 28 cm (4⁰)	NA	NA	NA	NA	1
23 x 33 cm (2⁰)	NA	NA	NA	NA	1
23 x 34 cm (2⁰)	NA	NA	NA	NA	1
23 x 34 cm.	NA	NA	NA	NA	1
23 x 35 cm (2⁰)	NA	NA	NA	NA	1
23 x 36 cm (2⁰)	NA	NA	NA	NA	1
23 x 36 cm.	NA	NA	NA	NA	1
23 x 41 cm.	NA	NA	NA	NA	1
24̊	NA	NA	NA	0	1
24 x 10 cm.	NA	NA	NA	NA	1
24 x 15 cm.	NA	NA	NA	NA	1
24 x 16.5cm.	NA	NA	NA	NA	1
24 x 20 cm. (1/4&quot;)	NA	NA	NA	NA	1
24 x 35 cm (2⁰)	NA	NA	NA	NA	1
24 x 35 cm.	NA	NA	NA	NA	1
24 x 37 cm.	NA	NA	NA	NA	1
24-31 cm.	NA	NA	NA	0	1
24-39 cm.	NA	NA	NA	0	1
24-41 cm.	NA	NA	NA	0	1
24.̥	NA	NA	NA	0	1
24.3 x 21 cm.	NA	NA	NA	NA	1
24⁰.obl. 16⁰.	NA	NA	NA	1	1
25 x 12 cm.	NA	NA	NA	NA	1
25 x 13 cm.	NA	NA	NA	NA	1
25 x 15 cm.	NA	NA	NA	NA	1
25 x 29 cm.	NA	NA	NA	NA	1
25 x 32 cm.	NA	NA	NA	NA	1
25 x 38 cm.	NA	NA	NA	NA	1
25 x 9 cm.	NA	NA	NA	NA	1
25-34 cm.	NA	NA	NA	0	1
25-39 cm.	NA	NA	NA	0	1
25-44 cm.	NA	NA	NA	0	1
25-48 cm.	NA	NA	NA	0	1
26 x 11 cm.	NA	NA	NA	NA	1
26 x 13 cm.	NA	NA	NA	NA	1
26 x 16 cm.	NA	NA	NA	NA	1
26 x 25 cm.	NA	NA	NA	NA	1
26 x 28 cm.	NA	NA	NA	NA	1
26 x 33 cm (2⁰)	NA	NA	NA	NA	1
26 x 38 cm.	NA	NA	NA	NA	1
26 x 41 cm.	NA	NA	NA	NA	1
26 x 42 cm.	NA	NA	NA	NA	1
26-38 cm.	NA	NA	NA	0	1
26-41 cm.	NA	NA	NA	0	1
27 x 10 cm.	NA	NA	NA	NA	1
27 x 12 cm.	NA	NA	NA	NA	1
27 x 13 cm.	NA	NA	NA	NA	1
27 x 15 cm.	NA	NA	NA	NA	1
27 x 17 cm.	NA	NA	NA	NA	1
27 x 22 cm. braodside.	NA	NA	NA	NA	1
27 x 29 cm.	NA	NA	NA	NA	1
27 x 36 cm.	NA	NA	NA	NA	1
27 x 44 cm.	NA	NA	NA	NA	1
27 X 44 cm.	NA	NA	NA	NA	1
27 x 45 cm.	NA	NA	NA	NA	1
27 x 52.5 cm.	NA	NA	NA	NA	1
27-22 cm (4⁰; 8⁰)	NA	NA	NA	0	1
27-43 cm.	NA	NA	NA	0	1
28 x 13 cm.	NA	NA	NA	NA	1
28 x 14 cm.	NA	NA	NA	NA	1
28 x 23.5 cm.	NA	NA	NA	NA	1
28 x 25 cm.	NA	NA	NA	NA	1
28 x 26 cm.	NA	NA	NA	NA	1
28 x 27 cm.	NA	NA	NA	NA	1
28 x 31 cm (2⁰)	NA	NA	NA	NA	1
28 x 32 cm (2⁰)	NA	NA	NA	NA	1
28 x 35 cm.	NA	NA	NA	NA	1
28 x 36 cm (2⁰)	NA	NA	NA	NA	1
28 x 37 cm (2⁰)	NA	NA	NA	NA	1
28 x 45 cm.	NA	NA	NA	NA	1
28-33 cm.	NA	NA	NA	0	1
28-35 cm (4⁰; 2⁰)	NA	NA	NA	0	1
28-44 cm (4⁰; 2⁰)	NA	NA	NA	0	1
28-45 cm.	NA	NA	NA	0	1
28-47 cm.	NA	NA	NA	0	1
28-68 cm.	NA	NA	NA	0	1
29 x 13 cm.	NA	NA	NA	NA	1
29 x 17 cm. broadside.	NA	NA	NA	NA	1
29 x 25 cm.	NA	NA	NA	NA	1
29 x 26 cm.	NA	NA	NA	NA	1
29 x 34 cm.	NA	NA	NA	NA	1
29 x 44 cm.	NA	NA	NA	NA	1
29 x 45 cm.	NA	NA	NA	NA	1
29-31 cm.	NA	NA	NA	0	1
29-40 cm. (4⁰; 2⁰)	NA	NA	NA	0	1
29-43 cm.	NA	NA	NA	0	1
30 x 12 cm.	NA	NA	NA	NA	1
30 x 14 cm.	NA	NA	NA	NA	1
30 x 16 cm.	NA	NA	NA	NA	1
30 x 18 cm. 1/2⁰.	NA	NA	NA	NA	1
30 x 19 cm. (1/2&quot;)	NA	NA	NA	NA	1
30 x 26 cm.	NA	NA	NA	NA	1
30 x 29 cm.	NA	NA	NA	NA	1
30 x 35 cm.	NA	NA	NA	NA	1
30 x 36 cm (2⁰)	NA	NA	NA	NA	1
30 x 38 cm.	NA	NA	NA	NA	1
30 x 41 cm.	NA	NA	NA	NA	1
30 x 42 cm (2⁰)	NA	NA	NA	NA	1
30 x 42 cm.	NA	NA	NA	NA	1
30-41 cm.	NA	NA	NA	0	1
30-47 cm.	NA	NA	NA	0	1
30-48 cm.	NA	NA	NA	0	1
30.2 x 11.3 cm.	NA	NA	NA	NA	1
31 1/2 x 13 cm.	NA	NA	NA	NA	1
31 x 15 cm.	NA	NA	NA	NA	1
31 x 18 cm. 1/2⁰.	NA	NA	NA	NA	1
31 x 19.5 cm.	NA	NA	NA	NA	1
31 x 28 cm.	NA	NA	NA	NA	1
31 x 29 cm.	NA	NA	NA	NA	1
31 x 32 cm.	NA	NA	NA	NA	1
31 x 38 cm.	NA	NA	NA	NA	1
31 x 48 cm.	NA	NA	NA	NA	1
31-37 cm.	NA	NA	NA	0	1
31-38 cm.	NA	NA	NA	0	1
31-42 cm.	NA	NA	NA	0	1
31-44 cm (4⁰; 2⁰)	NA	NA	NA	0	1
31+ x 30 cm.	NA	NA	NA	NA	1
31x24cm.	NA	NA	NA	NA	1
32 x 10 cm.	NA	NA	NA	NA	1
32 x 11 cm.	NA	NA	NA	NA	1
32 x 33 cm.	NA	NA	NA	NA	1
32 x 40 cm (2⁰)	NA	NA	NA	NA	1
32 x 41 cm.	NA	NA	NA	NA	1
32 x 49 cm.	NA	NA	NA	NA	1
32-39 cm.	NA	NA	NA	0	1
32-46 cm (2⁾	NA	NA	NA	0	1
32-46 cm.	NA	NA	NA	0	1
32⁰�	NA	NA	NA	0	1
32x20 cm.	NA	NA	NA	NA	1
33 x 11 cm.	NA	NA	NA	NA	1
33 x 12 cm.	NA	NA	NA	NA	1
33 x 13 cm.	NA	NA	NA	NA	1
33 x 16 cm.	NA	NA	NA	NA	1
33 x 21 cm. (1/2&quot;)	NA	NA	NA	NA	1
33 x 24 cm.	NA	NA	NA	NA	1
33 x 25 cm. broadside.	NA	NA	NA	NA	1
33 x 34 cm.	NA	NA	NA	NA	1
33 x 39 cm.	NA	NA	NA	NA	1
33 x 43 cm.	NA	NA	NA	NA	1
33 x 54 cm.	NA	NA	NA	NA	1
33 x 9 cm.	NA	NA	NA	NA	1
33-34 cm. (1/2)	NA	NA	NA	0	1
33-37 cm.	NA	NA	NA	0	1
33-40 cm.	NA	NA	NA	0	1
33-45 cm.	NA	NA	NA	0	1
33-47 cm.	NA	NA	NA	0	1
33.8 x 19.7 cm.	NA	NA	NA	NA	1
33x20 cm.	NA	NA	NA	NA	1
34 x 10 cm.	NA	NA	NA	NA	1
34 x 15 cm.	NA	NA	NA	NA	1
34 x 16 cm.	NA	NA	NA	NA	1
34 x 17 cm.	NA	NA	NA	NA	1
34 x 20 cm. (1/2&quot;)	NA	NA	NA	NA	1
34 x 20.5 cm.	NA	NA	NA	NA	1
34 x 21 cm. broadside.	NA	NA	NA	NA	1
34 x 21.5 cm.	NA	NA	NA	NA	1
34 x 21.6 cm.	NA	NA	NA	NA	1
34 x 22 cm. broadside.	NA	NA	NA	NA	1
34 x 26 cm.	NA	NA	NA	NA	1
34 x 31 cm.	NA	NA	NA	NA	1
34-40 cm.	NA	NA	NA	0	1
34-43 cm.	NA	NA	NA	0	1
34-45 cm.	NA	NA	NA	0	1
34-50 cm.	NA	NA	NA	0	1
35 x 11 cm.	NA	NA	NA	NA	1
35 x 12 cm.	NA	NA	NA	NA	1
35 x 15 cm.	NA	NA	NA	NA	1
35 x 18 cm.	NA	NA	NA	NA	1
35 x 18.3 cm.	NA	NA	NA	NA	1
35 x 19 cm. broadside.	NA	NA	NA	NA	1
35 x 26 cm.	NA	NA	NA	NA	1
35 x 29 cm.	NA	NA	NA	NA	1
35 x 30 cm.	NA	NA	NA	NA	1
35 x 31 cm.	NA	NA	NA	NA	1
35 x 33 cm.	NA	NA	NA	NA	1
35 x 43 cm.	NA	NA	NA	NA	1
35 x 48 cm.	NA	NA	NA	NA	1
35-45 cm.	NA	NA	NA	0	1
36 x 15 cm.	NA	NA	NA	NA	1
36 x 17 cm.	NA	NA	NA	NA	1
36 x 22 cm. 1/2⁰.	NA	NA	NA	NA	1
36 x 32 cm.	NA	NA	NA	NA	1
36 x 34 cm.	NA	NA	NA	NA	1
36 x 38 cm.	NA	NA	NA	NA	1
36-42 cm.	NA	NA	NA	0	1
36-46 cm.	NA	NA	NA	0	1
36-47 cm.	NA	NA	NA	0	1
36-53 cm.	NA	NA	NA	0	1
36-56 cm.	NA	NA	NA	0	1
36cm	NA	NA	NA	0	1
37 x 16 cm.	NA	NA	NA	NA	1
37 x 17 cm.	NA	NA	NA	NA	1
37 x 27 cm.	NA	NA	NA	NA	1
37 x 29 cm.	NA	NA	NA	NA	1
37 x 42 cm (2⁰)	NA	NA	NA	NA	1
37 x 42 cm.; 1/2⁰.	NA	NA	NA	NA	1
37-45 cm.	NA	NA	NA	0	1
37-46 cm.	NA	NA	NA	0	1
37-47 cm.	NA	NA	NA	0	1
37x22cm.	NA	NA	NA	NA	1
38 x 14 cm.	NA	NA	NA	NA	1
38 x 15 cm.	NA	NA	NA	NA	1
38 x 18 cm.	NA	NA	NA	NA	1
38 x 19 cm.	NA	NA	NA	NA	1
38 x 33 cm.	NA	NA	NA	NA	1
38 x 41 x 46 cm.	NA	NA	NA	NA	1
38-44 cm.	NA	NA	NA	0	1
38-45 cm.	NA	NA	NA	0	1
38-53 cm.	NA	NA	NA	0	1
39 x 16 cm.	NA	NA	NA	NA	1
39 x 22 cm.	NA	NA	NA	NA	1
39 x 24.5 cm.	NA	NA	NA	NA	1
39 x 25 cm. broadside.	NA	NA	NA	NA	1
39 x 29 cm.	NA	NA	NA	NA	1
39 x 34 cm.	NA	NA	NA	NA	1
39 x 46 cm.	NA	NA	NA	NA	1
39-46 cm.	NA	NA	NA	0	1
39-49 cm.	NA	NA	NA	0	1
39-50 cm.	NA	NA	NA	0	1
39-52 cm.	NA	NA	NA	0	1
39-54 cm.	NA	NA	NA	0	1
39x27cm.	NA	NA	NA	NA	1
4 d]0.	NA	NA	NA	0	1
4 l. :; 8�	NA	NA	NA	0	1
4 x 11 cm.	NA	NA	NA	NA	1
4 x 12 cm.	NA	NA	NA	NA	1
4 �.	NA	NA	NA	0	1
4.̲	NA	NA	NA	0	1
4*.	NA	NA	NA	0	1
4⁰ &amp; obl.2⁰.	NA	NA	NA	1	1
4⁰ ⁸.⁴.⁶.⁴.	NA	NA	NA	0	1
4⁰ ⁸·⁴.	NA	NA	NA	0	1
4⁰ ⁸⁴ṡ.	NA	NA	NA	0	1
4⁰ ⁸⁴��⁺������	NA	NA	NA	0	1
4⁰ and 1/2⁰.	NA	NA	NA	0	1
4⁰ and 1⁰.	NA	NA	NA	0	1
4⁰ and 8⁰.	NA	NA	NA	0	1
40 x 15 cm.	NA	NA	NA	NA	1
40 x 16 cm.	NA	NA	NA	NA	1
40 x 17 cm.	NA	NA	NA	NA	1
40 x 18 cm.	NA	NA	NA	NA	1
40 x 19 cm.	NA	NA	NA	NA	1
40 x 20 cm.	NA	NA	NA	NA	1
40 x 29 cm.	NA	NA	NA	NA	1
40 x 35 cm.	NA	NA	NA	NA	1
40 x 53 cm.	NA	NA	NA	NA	1
40-41 cm.	NA	NA	NA	0	1
40-44 cm.	NA	NA	NA	0	1
40-45 cm.	NA	NA	NA	0	1
40-50 cm.	NA	NA	NA	0	1
40-64 cm.	NA	NA	NA	0	1
4⁰, 1/2⁰.	NA	NA	NA	0	1
4⁰, 2⁰ and 1⁰.	NA	NA	NA	0	1
4⁰; sm 2⁰; 2⁰ (30-51 cm.).	NA	NA	NA	0	1
4⁰;2⁰.	NA	NA	NA	0	1
4⁰.8.4.	NA	NA	NA	0	1
4⁰⁴.⁸.	NA	NA	NA	0	1
4⁰⁴⁻⁶.	NA	NA	NA	0	1
4⁰⁶.⁴.	NA	NA	NA	0	1
4⁰⁸·⁴.	NA	NA	NA	0	1
4⁰and2⁰.	NA	NA	NA	0	1
41 x 13 cm.	NA	NA	NA	NA	1
41 x 15 cm.	NA	NA	NA	NA	1
41 x 17 cm.	NA	NA	NA	NA	1
41 x 20 cm.	NA	NA	NA	NA	1
41 x 23 cm.	NA	NA	NA	NA	1
41 x 29 cm.	NA	NA	NA	NA	1
41 x 30 cm. broadside.	NA	NA	NA	NA	1
41 x 38 cm.	NA	NA	NA	NA	1
41 x 43 cm.	NA	NA	NA	NA	1
41 x 50 cm.	NA	NA	NA	NA	1
41-45 cm.	NA	NA	NA	0	1
41-51 cm.	NA	NA	NA	0	1
41-68 cm.	NA	NA	NA	0	1
42 x 11 cm.	NA	NA	NA	NA	1
42 x 13 cm.	NA	NA	NA	NA	1
42 x 16 cm.	NA	NA	NA	NA	1
42 x 20 cm.	NA	NA	NA	NA	1
42 x 22 cm.	NA	NA	NA	NA	1
42 x 25.5cm.	NA	NA	NA	NA	1
42 x 26 cm	NA	NA	NA	NA	1
42 x 3.5 cm.	NA	NA	NA	NA	1
42 x 51 cm.	NA	NA	NA	NA	1
42-47 cm.	NA	NA	NA	0	1
42-48 cm.	NA	NA	NA	0	1
42-49 cm.	NA	NA	NA	0	1
42-51 cm.	NA	NA	NA	0	1
42-52 cm.	NA	NA	NA	0	1
42-53 cm.	NA	NA	NA	0	1
42⁰.	NA	NA	NA	0	1
43 x 11 cm.	NA	NA	NA	NA	1
43 x 12 cm.	NA	NA	NA	NA	1
43 x 15 cm.	NA	NA	NA	NA	1
43 x 16 cm.	NA	NA	NA	NA	1
43 x 18+ cm.	NA	NA	NA	NA	1
43 x 23 cm.	NA	NA	NA	NA	1
43 x 24 cm.	NA	NA	NA	NA	1
43 x 38 cm.	NA	NA	NA	NA	1
43 x 44 cm.	NA	NA	NA	NA	1
43 x 53 cm.	NA	NA	NA	NA	1
43-47 cm.	NA	NA	NA	0	1
43-48 cm.	NA	NA	NA	0	1
43-49 cm.	NA	NA	NA	0	1
43-54 cm.	NA	NA	NA	0	1
43-65 cm.	NA	NA	NA	0	1
43-68 cm.	NA	NA	NA	0	1
43-72 cm.	NA	NA	NA	0	1
43x29cm.	NA	NA	NA	NA	1
44 x 13 cm.	NA	NA	NA	NA	1
44 x 18 cm.	NA	NA	NA	NA	1
44 x 19 cm.	NA	NA	NA	NA	1
44 x 23 cm.	NA	NA	NA	NA	1
44 x 24 cm.	NA	NA	NA	NA	1
44 x 30 cm.	NA	NA	NA	NA	1
44 x 42 cm.	NA	NA	NA	NA	1
44 x 54 cm.	NA	NA	NA	NA	1
44 x 56 cm.	NA	NA	NA	NA	1
44-46 cm.	NA	NA	NA	0	1
44-55 cm (2⁰;1⁰)	NA	NA	NA	0	1
44-56 cm.	NA	NA	NA	0	1
4⁴.	NA	NA	NA	0	1
44x26cm.	NA	NA	NA	NA	1
45 x 14 cm.	NA	NA	NA	NA	1
45 x 15 cm.	NA	NA	NA	NA	1
45 x 16 cm.	NA	NA	NA	NA	1
45 x 19 cm.	NA	NA	NA	NA	1
45 X 28 cm.	NA	NA	NA	NA	1
45 x 30 cm.	NA	NA	NA	NA	1
45 x 31 cm.	NA	NA	NA	NA	1
45 x 33 cm.	NA	NA	NA	NA	1
45 x 33 cm.1⁰.	NA	NA	NA	NA	1
45 x 37 cm.	NA	NA	NA	NA	1
45 x 52 cm.	NA	NA	NA	NA	1
45 x 55 cm.	NA	NA	NA	NA	1
45-48 cm.	NA	NA	NA	0	1
45-50 cm.	NA	NA	NA	0	1
45-51 cm.	NA	NA	NA	0	1
45-54 cm.	NA	NA	NA	0	1
45-55 cm.	NA	NA	NA	0	1
45-63 cm.	NA	NA	NA	0	1
45-72 cm.	NA	NA	NA	0	1
46 x 20 cm.	NA	NA	NA	NA	1
46 x 27 cm.	NA	NA	NA	NA	1
46 X 29 cm.	NA	NA	NA	NA	1
46 x 34 cm.	NA	NA	NA	NA	1
46 x 37 cm.	NA	NA	NA	NA	1
46 x 38 cm.	NA	NA	NA	NA	1
46 x 39 cm.	NA	NA	NA	NA	1
46 x 40 cm.	NA	NA	NA	NA	1
46-48 cm.	NA	NA	NA	0	1
46-49 cm.	NA	NA	NA	0	1
46-54 cm.	NA	NA	NA	0	1
46-63 cm.	NA	NA	NA	0	1
47 lines.	NA	NA	NA	0	1
47 x 11 cm.	NA	NA	NA	NA	1
47 x 15 cm.	NA	NA	NA	NA	1
47 x 20 cm.	NA	NA	NA	NA	1
47 x 21 cm.	NA	NA	NA	NA	1
47 x 26 cm.	NA	NA	NA	NA	1
47 x 38 cm.	NA	NA	NA	NA	1
47 x 41 cm.	NA	NA	NA	NA	1
47 x 44 cm.	NA	NA	NA	NA	1
47-52 cm.	NA	NA	NA	0	1
48 x 22 cm.	NA	NA	NA	NA	1
48 x 28 cm.	NA	NA	NA	NA	1
48 x 29 cm.	NA	NA	NA	NA	1
48 x 30 cm.	NA	NA	NA	NA	1
48 x 33 cm.	NA	NA	NA	NA	1
48 x 37 cm.	NA	NA	NA	NA	1
48 x 40 cm.	NA	NA	NA	NA	1
48-53 cm.	NA	NA	NA	0	1
48-55 cm.	NA	NA	NA	0	1
48-56 cm.	NA	NA	NA	0	1
49 x 19 cm.	NA	NA	NA	NA	1
49 x 20 cm.	NA	NA	NA	NA	1
49 x 22 cm.	NA	NA	NA	NA	1
49 x 23 cm.	NA	NA	NA	NA	1
49 x 27 cm.	NA	NA	NA	NA	1
49 x 31 cm.	NA	NA	NA	NA	1
49 x 32 cm.	NA	NA	NA	NA	1
49 x 34 cm.	NA	NA	NA	NA	1
49 x 35 cm.	NA	NA	NA	NA	1
49 x 36 cm.	NA	NA	NA	NA	1
49 x 48 cm.	NA	NA	NA	NA	1
49-55 cm.	NA	NA	NA	0	1
49.3 x 32.5 cm.	NA	NA	NA	NA	1
4c⁰.	NA	NA	NA	0	1
4o.	NA	NA	NA	0	1
4to; fol.	NA	NA	NA	0	1
4�.	NA	NA	NA	0	1
5 x 12 cm.	NA	NA	NA	NA	1
5.5 x 4 cm.	NA	NA	NA	NA	1
50 x 20 cm.	NA	NA	NA	NA	1
50 x 22 cm.	NA	NA	NA	NA	1
50 x 24 cm.	NA	NA	NA	NA	1
50 x 31 cm.	NA	NA	NA	NA	1
50 x 35 cm.	NA	NA	NA	NA	1
50 x 42 cm.	NA	NA	NA	NA	1
50-53 cm.	NA	NA	NA	0	1
