original	gatherings.original	width.original	height.original	obl.original	gatherings	width	height	obl	area	n	n_cum	f	f_cum
33 x 21 cm. (1/2&quot;)	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480756	0	99.9
33 x 24 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480757	0	99.9
33 x 25 cm. broadside.	1to	NA	NA	FALSE	2fo	30	45	0	1350	1	480758	0	99.9
33 x 33 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480759	0	99.9
33 x 34 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480760	0	99.9
33 x 39 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480761	0	99.9
33 x 43 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480762	0	99.9
33 x 54 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480763	0	99.9
33 x 9 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480764	0	99.9
33-34 cm. (1/2)	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480765	0	99.9
33-34 cm. (1/2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480766	0	99.9
33-36 cm (1/2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480767	0	99.9
33-37 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480768	0	99.9
33-38 cm (2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480769	0	99.9
33-40 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480770	0	99.9
33-45 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480771	0	99.9
33-47 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480772	0	99.9
33.8 x 19.7 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480773	0	99.9
33cm (1/2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480774	0	99.9
33x20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480775	0	99.9
34 cm. (fol)	2fo	NA	34	FALSE	2fo	22	34	0	748	1	480776	0	99.9
34 cm. (folio)	2fo	NA	34	FALSE	2fo	22	34	0	748	1	480777	0	99.9
34 x 10 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480778	0	99.9
34 x 15 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480779	0	99.9
34 x 16 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480780	0	99.9
34 x 17 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480781	0	99.9
34 x 20 cm. (1/2&quot;)	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480782	0	99.9
34 x 20.5 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480783	0	99.9
34 x 21 cm. broadside.	1to	NA	NA	FALSE	2fo	30	45	0	1350	1	480784	0	99.9
34 x 21.5 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480785	0	99.9
34 x 21.6 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480786	0	99.9
34 x 22 cm. broadside.	1to	NA	NA	FALSE	2fo	30	45	0	1350	1	480787	0	99.9
34 x 26 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480788	0	99.9
34 x 31 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480789	0	99.9
34-35 cm (1/2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480790	0	99.9
34-35 cm. (1/2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480791	0	99.9
34-40 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480792	0	99.9
34-43 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480793	0	99.9
34-45 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480794	0	99.9
34-50 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480795	0	99.9
34cm (8⁰)	8vo	NA	NA	FALSE	8vo	13	19	0	247	1	480796	0	99.9
34cm.	NA	NA	34	FALSE	2fo	22	34	0	748	1	480797	0	99.9
35 cm (4⁰)	4to	NA	35	FALSE	4to	27	35	0	945	1	480798	0	99.9
35 x 11 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480799	0	99.9
35 x 12 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480800	0	99.9
35 x 15 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480801	0	99.9
35 x 18 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480802	0	99.9
35 x 18.3 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480803	0	99.9
35 x 19 cm. broadside.	1to	NA	NA	FALSE	2fo	30	45	0	1350	1	480804	0	99.9
35 x 26 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480805	0	99.9
35 x 29 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480806	0	99.9
35 x 30 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480807	0	99.9
35 x 31 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480808	0	99.9
35 x 33 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480809	0	99.9
35 x 43 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480810	0	99.9
35 x 48 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480811	0	99.9
35-40 cm. (2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480812	0	99.9
35-45 cm (fol.)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480813	0	99.9
35-45 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480814	0	99.9
35cm (2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480815	0	99.9
36 (2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480816	0	99.9
36 cm. (fol)	2fo	NA	36	FALSE	2fo	24	36	0	864	1	480817	0	99.9
36 x 15 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480818	0	99.9
36 x 17 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480819	0	99.9
36 x 22 cm. 1/2⁰.	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480820	0	99.9
36 x 32 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480821	0	99.9
36 x 34 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480822	0	99.9
36 x 38 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480823	0	99.9
36-38 cm. (1/2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480824	0	99.9
36-39 cm. (2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480825	0	99.9
36-42 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480826	0	99.9
36-46 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480827	0	99.9
36-47 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480828	0	99.9
36-53 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480829	0	99.9
36-56 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480830	0	99.9
36cm	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480831	0	99.9
36cm (2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480832	0	99.9
36cm. (1/2⁰)	2fo	NA	36	FALSE	2fo	24	36	0	864	1	480833	0	99.9
37 cm. (2⁰)	2fo	NA	37	FALSE	2fo	25	37	0	925	1	480834	0	99.9
37 x 16 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480835	0	99.9
37 x 17 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480836	0	99.9
37 x 27 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480837	0	99.9
37 x 29 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480838	0	99.9
37 x 42 cm (2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480839	0	99.9
37 x 42 cm.; 1/2⁰.	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480840	0	99.9
37-44 (2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480841	0	99.9
37-45 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480842	0	99.9
37-46 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480843	0	99.9
37-47 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480844	0	99.9
37cm (2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480845	0	99.9
37x22cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480846	0	99.9
38 cm (1⁰)	1to	NA	38	FALSE	2fo	25	38	0	950	1	480847	0	99.9
38 cm. (1/2⁰)	2fo	NA	38	FALSE	2fo	25	38	0	950	1	480848	0	99.9
38 cm. (2⁰)	2fo	NA	38	FALSE	2fo	25	38	0	950	1	480849	0	99.9
38 x 14 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480850	0	99.9
38 x 15 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480851	0	99.9
38 x 18 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480852	0	99.9
38 x 19 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480853	0	99.9
38 x 33 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480854	0	99.9
38 x 41 x 46 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480855	0	99.9
38-44 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480856	0	99.9
38-45 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480857	0	99.9
38-53 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480858	0	99.9
39 cm (2⁾.	NA	NA	39	FALSE	2fo	26	39	0	1014	1	480859	0	99.9
39 x 16 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480860	0	99.9
39 x 22 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480861	0	99.9
39 x 24.5 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480862	0	99.9
39 x 25 cm. broadside.	1to	NA	NA	FALSE	2fo	30	45	0	1350	1	480863	0	99.9
39 x 29 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480864	0	99.9
39 x 34 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480865	0	99.9
39 x 46 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480866	0	99.9
39-40 cm. (2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480867	0	99.9
39-41 cm. (2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480868	0	99.9
39-45 cm (2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480869	0	99.9
39-46 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480870	0	99.9
39-49 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480871	0	99.9
39-50 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480872	0	99.9
39-52 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480873	0	99.9
39-54 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480874	0	99.9
39cm (2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480875	0	99.9
39x27cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480876	0	99.9
4 cm.	NA	NA	4	FALSE	64mo	4	4	0	16	1	480877	0	99.9
4 d]0.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480878	0	99.9
4 in 8's.	8vo	NA	NA	FALSE	8vo	13	19	0	247	1	480879	0	99.9
4 l. :; 8�	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480880	0	99.9
4 x 11 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480881	0	99.9
4 x 12 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480882	0	99.9
4 �.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480883	0	99.9
4.̲	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480884	0	99.9
4*.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480885	0	99.9
4⁰ 	4to	NA	NA	FALSE	4to	22	28	0	616	1	480886	0	99.9
4⁰ (19-20 cm.).	4to	NA	NA	FALSE	4to	22	28	0	616	1	480887	0	99.9
4⁰ (20 cm.)	4to	NA	20	FALSE	4to	17	20	0	340	1	480888	0	99.9
4⁰ (22-27 cm.).	4to	NA	NA	FALSE	4to	22	28	0	616	1	480889	0	99.9
4⁰ (23 cm.).	4to	NA	23	FALSE	4to	18	23	0	414	1	480890	0	99.9
4⁰ (24 cm.).	4to	NA	24	FALSE	4to	19	24	0	456	1	480891	0	99.9
4⁰ (26-27 cm.).	4to	NA	NA	FALSE	4to	22	28	0	616	1	480892	0	99.9
4⁰ (28-31 cm.)	4to	NA	NA	FALSE	4to	22	28	0	616	1	480893	0	99.9
4⁰ (29 cm.)	4to	NA	29	FALSE	4to	23	29	0	667	1	480894	0	99.9
4⁰ (29 cm.).	4to	NA	29	FALSE	4to	23	29	0	667	1	480895	0	99.9
4⁰ (31 cm.).	4to	NA	31	FALSE	4to	24	31	0	744	1	480896	0	99.9
4⁰ (32 cm.).	4to	NA	32	FALSE	4to	25	32	0	800	1	480897	0	99.9
4⁰ (35 cm.).	4to	NA	35	FALSE	4to	27	35	0	945	1	480898	0	99.9
4⁰ (in 8s).	4to	NA	NA	FALSE	4to	22	28	0	616	1	480899	0	99.9
4⁰ (partly ⁴.⁸).	4to	NA	NA	FALSE	4to	22	28	0	616	1	480900	0	99.9
4⁰ &amp; obl.2⁰.	NA	NA	NA	TRUE	NA	NA	NA	1	NA	1	480901	0	99.9
4⁰ ⁴.⁶.	4to	NA	NA	FALSE	4to	22	28	0	616	1	480902	0	99.9
4⁰ ⁴·⁶.	4to	NA	NA	FALSE	4to	22	28	0	616	1	480903	0	99.9
4⁰ ⁴⁶��⁺������	4to	NA	NA	FALSE	4to	22	28	0	616	1	480904	0	99.9
4⁰ ⁶.⁴?	4to	NA	NA	FALSE	4to	22	28	0	616	1	480905	0	99.9
4⁰ ⁸.⁴.⁶.⁴.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480906	0	99.9
4⁰ ⁸·⁴.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480907	0	99.9
4⁰ ⁸⁴ṡ.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480908	0	99.9
4⁰ ⁸⁴��⁺������	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480909	0	99.9
4⁰ an 50 pages]	4to	NA	NA	FALSE	4to	22	28	0	616	1	480910	0	99.9
4⁰ and 1⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480911	0	99.9
4⁰ and 8⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480912	0	99.9
40 cm	NA	NA	40	FALSE	2fo	26	40	0	1040	1	480913	0	99.9
40 cm (1/2⁰)	2fo	NA	40	FALSE	2fo	26	40	0	1040	1	480914	0	99.9
40 cm (2⁰).	2fo	NA	40	FALSE	2fo	26	40	0	1040	1	480915	0	99.9
4⁰ in 2's	4to	NA	NA	FALSE	4to	22	28	0	616	1	480916	0	99.9
4⁰ in 2's.	4to	NA	NA	FALSE	4to	22	28	0	616	1	480917	0	99.9
4⁰ in 6's?	4to	NA	NA	FALSE	4to	22	28	0	616	1	480918	0	99.9
4⁰ in 8s.	4to	NA	NA	FALSE	4to	22	28	0	616	1	480919	0	99.9
4⁰ mostly 6's.	4to	NA	NA	FALSE	4to	22	28	0	616	1	480920	0	99.9
4⁰ w. perp. chainlines.	4to	NA	NA	FALSE	4to	22	28	0	616	1	480921	0	99.9
40 x 15 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480922	0	99.9
40 x 16 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480923	0	99.9
40 x 17 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480924	0	99.9
40 x 18 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480925	0	99.9
40 x 19 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480926	0	99.9
40 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480927	0	99.9
40 x 29 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480928	0	99.9
40 x 35 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480929	0	99.9
40 x 40 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480930	0	99.9
40 x 53 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480931	0	99.9
40-41 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480932	0	99.9
40-44 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480933	0	99.9
40-45 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480934	0	99.9
40-50 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480935	0	99.9
40-51 cm (2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480936	0	99.9
40-64 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480937	0	99.9
4⁰,	4to	NA	NA	FALSE	4to	22	28	0	616	1	480938	0	99.9
4⁰, 1/2⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480939	0	99.9
4⁰, 2⁰ and 1⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480940	0	99.9
40; 34; 42 cm (2⁰; 1/2⁰; 2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480941	0	99.9
4⁰; 43 cm (2⁰)	NA	NA	43	FALSE	2fo	28	43	0	1204	1	480942	0	99.9
4⁰; sm 2⁰; 2⁰ (30-51 cm.).	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480943	0	99.9
4⁰;2⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480944	0	99.9
4⁰.̊	4to	NA	NA	FALSE	4to	22	28	0	616	1	480945	0	99.9
4⁰. '	4to	NA	NA	FALSE	4to	22	28	0	616	1	480946	0	99.9
4⁰. (21 cm.).	4to	NA	21	FALSE	4to	17	21	0	357	1	480947	0	99.9
4⁰. d	4to	NA	NA	FALSE	4to	22	28	0	616	1	480948	0	99.9
4⁰. w. perp. chainlines.	4to	NA	NA	FALSE	4to	22	28	0	616	1	480949	0	99.9
4⁰.8.4.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480950	0	99.9
4⁰)	4to	NA	NA	FALSE	4to	22	28	0	616	1	480951	0	99.9
4⁰).	4to	NA	NA	FALSE	4to	22	28	0	616	1	480952	0	99.9
4⁰]	4to	NA	NA	FALSE	4to	22	28	0	616	1	480953	0	99.9
4⁰⁴.⁸.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480954	0	99.9
4⁰⁴⁻⁶.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480955	0	99.9
4⁰⁶.⁴.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480956	0	99.9
4⁰⁸·⁴.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480957	0	99.9
4⁰and2⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480958	0	99.9
40cm. (2⁰)	2fo	NA	40	FALSE	2fo	26	40	0	1040	1	480959	0	99.9
41 cm (1/2⁰)	2fo	NA	41	FALSE	2fo	27	41	0	1107	1	480960	0	99.9
41 cm (1⁰)	1to	NA	41	FALSE	2fo	27	41	0	1107	1	480961	0	99.9
41 cm. (1/2⁰)	2fo	NA	41	FALSE	2fo	27	41	0	1107	1	480962	0	99.9
41 cm. (2⁰)	2fo	NA	41	FALSE	2fo	27	41	0	1107	1	480963	0	99.9
41 x 13 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480964	0	99.9
41 x 15 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480965	0	99.9
41 x 17 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480966	0	99.9
41 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480967	0	99.9
41 x 23 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480968	0	99.9
41 x 29 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480969	0	99.9
41 x 30 cm. broadside.	1to	NA	NA	FALSE	2fo	30	45	0	1350	1	480970	0	99.9
41 x 38 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480971	0	99.9
41 x 43 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480972	0	99.9
41 x 50 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480973	0	99.9
41-45 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480974	0	99.9
41-51 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480975	0	99.9
41-53 cm (2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480976	0	99.9
41-68 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480977	0	99.9
41cm.	NA	NA	41	FALSE	NA	27	41	NA	1107	1	480978	0	99.9
42 (2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480979	0	99.9
42 cm (1/2⁰)	2fo	NA	42	FALSE	2fo	27	42	0	1134	1	480980	0	99.9
42 cm.(2⁰)	2fo	NA	42	FALSE	2fo	27	42	0	1134	1	480981	0	99.9
42 x 11 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480982	0	99.9
42 x 13 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480983	0	99.9
42 x 16 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480984	0	99.9
42 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480985	0	99.9
42 x 22 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480986	0	99.9
42 x 25.5cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480987	0	99.9
42 x 26 cm	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480988	0	99.9
42 x 3.5 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480989	0	99.9
42 x 51 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480990	0	99.9
42-47 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480991	0	99.9
42-48 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480992	0	99.9
42-49 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480993	0	99.9
42-50 cm (2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480994	0	99.9
42-51 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480995	0	99.9
42-52 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480996	0	99.9
42-53 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480997	0	99.9
42-58 cm (2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	480998	0	99.9
42⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	480999	0	99.9
42cm (2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	481000	0	99.9
43 x 11 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481001	0	99.9
43 x 12 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481002	0	99.9
43 x 15 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481003	0	99.9
43 x 16 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481004	0	99.9
43 x 18+ cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481005	0	99.9
43 x 23 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481006	0	99.9
43 x 24 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481007	0	99.9
43 x 38 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481008	0	99.9
43 x 44 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481009	0	99.9
43 x 53 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481010	0	99.9
43-47 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481011	0	99.9
43-48 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481012	0	99.9
43-49 cm (2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	481013	0	99.9
43-49 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481014	0	99.9
43-54 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481015	0	99.9
43-65 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481016	0	99.9
43-68 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481017	0	99.9
43-72 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481018	0	99.9
43x29cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481019	0	99.9
44 cm. (2⁰)	2fo	NA	44	FALSE	2fo	29	44	0	1276	1	481020	0	99.9
44 x 13 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481021	0	99.9
44 x 18 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481022	0	99.9
44 x 19 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481023	0	99.9
44 x 23 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481024	0	99.9
44 x 24 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481025	0	99.9
44 x 30 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481026	0	99.9
44 x 42 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481027	0	99.9
44 x 54 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481028	0	99.9
44 x 56 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481029	0	99.9
44-46 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481030	0	99.9
44-55 cm (2⁰;1⁰)	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481031	0	99.9
44-56 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481032	0	99.9
4⁴.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481033	0	99.9
44cm (2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	481034	0	99.9
44x26cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481035	0	99.9
45 cm (1⁰)	1to	NA	45	FALSE	2fo	29	45	0	1305	1	481036	0	99.9
45 cm (2)	NA	NA	45	FALSE	2fo	29	45	0	1305	1	481037	0	99.9
45 cm. (2⁰)	2fo	NA	45	FALSE	2fo	29	45	0	1305	1	481038	0	99.9
